,zone,data,time
174,주거단지,2240,2022-01-14T15:00:00.000Z
175,주거단지,1738,2022-01-15T15:00:00.000Z
176,주거단지,2736,2022-01-16T15:00:00.000Z
177,주거단지,2688,2022-01-17T15:00:00.000Z
178,주거단지,2892,2022-01-18T15:00:00.000Z
179,주거단지,2721,2022-01-19T15:00:00.000Z
180,주거단지,2824,2022-01-20T15:00:00.000Z
181,주거단지,2237,2022-01-21T15:00:00.000Z
182,주거단지,1801,2022-01-22T15:00:00.000Z
183,주거단지,2824,2022-01-23T15:00:00.000Z
184,주거단지,2883,2022-01-24T15:00:00.000Z
185,주거단지,2989,2022-01-25T15:00:00.000Z
186,주거단지,2852,2022-01-26T15:00:00.000Z
187,주거단지,2917,2022-01-27T15:00:00.000Z
188,주거단지,2193,2022-01-28T15:00:00.000Z
189,주거단지,1741,2022-01-29T15:00:00.000Z
190,주거단지,1651,2022-01-30T15:00:00.000Z
191,주거단지,1508,2022-01-31T15:00:00.000Z
192,주거단지,1657,2022-02-01T15:00:00.000Z
193,주거단지,2497,2022-02-02T15:00:00.000Z
194,주거단지,2578,2022-02-03T15:00:00.000Z
195,주거단지,2041,2022-02-04T15:00:00.000Z
196,주거단지,1744,2022-02-05T15:00:00.000Z
197,주거단지,2582,2022-02-06T15:00:00.000Z
198,주거단지,2605,2022-02-07T15:00:00.000Z
199,주거단지,2805,2022-02-08T15:00:00.000Z
200,주거단지,2775,2022-02-09T15:00:00.000Z
201,주거단지,2849,2022-02-10T15:00:00.000Z
202,주거단지,2207,2022-02-11T15:00:00.000Z
203,주거단지,1738,2022-02-12T15:00:00.000Z
204,주거단지,2760,2022-02-13T15:00:00.000Z
205,주거단지,2721,2022-02-14T15:00:00.000Z
206,주거단지,2750,2022-02-15T15:00:00.000Z
207,주거단지,2651,2022-02-16T15:00:00.000Z
208,주거단지,2741,2022-02-17T15:00:00.000Z
209,주거단지,2124,2022-02-18T15:00:00.000Z
210,주거단지,1697,2022-02-19T15:00:00.000Z
211,주거단지,2662,2022-02-20T15:00:00.000Z
212,주거단지,2652,2022-02-21T15:00:00.000Z
213,주거단지,2703,2022-02-22T15:00:00.000Z
214,주거단지,2572,2022-02-23T15:00:00.000Z
215,주거단지,2735,2022-02-24T15:00:00.000Z
216,주거단지,2138,2022-02-25T15:00:00.000Z
217,주거단지,1775,2022-02-26T15:00:00.000Z
218,주거단지,2529,2022-02-27T15:00:00.000Z
219,주거단지,2025,2022-02-28T15:00:00.000Z
220,주거단지,2799,2022-03-01T15:00:00.000Z
221,주거단지,2762,2022-03-02T15:00:00.000Z
