,zone,data,time
165,주거단지,2270,2022-01-05T15:00:00.000Z
166,주거단지,2300,2022-01-06T15:00:00.000Z
167,주거단지,2296,2022-01-07T15:00:00.000Z
168,주거단지,2315,2022-01-08T15:00:00.000Z
169,주거단지,2361,2022-01-09T15:00:00.000Z
170,주거단지,2080,2022-01-10T15:00:00.000Z
171,주거단지,2520,2022-01-11T15:00:00.000Z
172,주거단지,2486,2022-01-12T15:00:00.000Z
173,주거단지,2399,2022-01-13T15:00:00.000Z
174,주거단지,2397,2022-01-14T15:00:00.000Z
175,주거단지,2400,2022-01-15T15:00:00.000Z
176,주거단지,2251,2022-01-16T15:00:00.000Z
177,주거단지,2541,2022-01-17T15:00:00.000Z
178,주거단지,2234,2022-01-18T15:00:00.000Z
179,주거단지,2369,2022-01-19T15:00:00.000Z
180,주거단지,2237,2022-01-20T15:00:00.000Z
181,주거단지,2454,2022-01-21T15:00:00.000Z
182,주거단지,2461,2022-01-22T15:00:00.000Z
183,주거단지,2325,2022-01-23T15:00:00.000Z
184,주거단지,2353,2022-01-24T15:00:00.000Z
185,주거단지,2473,2022-01-25T15:00:00.000Z
186,주거단지,2345,2022-01-26T15:00:00.000Z
187,주거단지,2367,2022-01-27T15:00:00.000Z
188,주거단지,2274,2022-01-28T15:00:00.000Z
189,주거단지,2315,2022-01-29T15:00:00.000Z
190,주거단지,2184,2022-01-30T15:00:00.000Z
191,주거단지,2160,2022-01-31T15:00:00.000Z
192,주거단지,2239,2022-02-01T15:00:00.000Z
193,주거단지,2305,2022-02-02T15:00:00.000Z
194,주거단지,2202,2022-02-03T15:00:00.000Z
195,주거단지,2378,2022-02-04T15:00:00.000Z
196,주거단지,2494,2022-02-05T15:00:00.000Z
197,주거단지,2313,2022-02-06T15:00:00.000Z
198,주거단지,2395,2022-02-07T15:00:00.000Z
199,주거단지,2410,2022-02-08T15:00:00.000Z
200,주거단지,2360,2022-02-09T15:00:00.000Z
201,주거단지,2297,2022-02-10T15:00:00.000Z
202,주거단지,2435,2022-02-11T15:00:00.000Z
203,주거단지,2364,2022-02-12T15:00:00.000Z
204,주거단지,2303,2022-02-13T15:00:00.000Z
205,주거단지,2378,2022-02-14T15:00:00.000Z
206,주거단지,2410,2022-02-15T15:00:00.000Z
207,주거단지,2336,2022-02-16T15:00:00.000Z
208,주거단지,2347,2022-02-17T15:00:00.000Z
209,주거단지,2342,2022-02-18T15:00:00.000Z
210,주거단지,2256,2022-02-19T15:00:00.000Z
211,주거단지,2231,2022-02-20T15:00:00.000Z
212,주거단지,2426,2022-02-21T15:00:00.000Z
213,주거단지,2250,2022-02-22T15:00:00.000Z
214,주거단지,2215,2022-02-23T15:00:00.000Z
215,주거단지,2271,2022-02-24T15:00:00.000Z
216,주거단지,2462,2022-02-25T15:00:00.000Z
217,주거단지,2486,2022-02-26T15:00:00.000Z
218,주거단지,2506,2022-02-27T15:00:00.000Z
219,주거단지,2455,2022-02-28T15:00:00.000Z
220,주거단지,2337,2022-03-01T15:00:00.000Z
221,주거단지,2241,2022-03-02T15:00:00.000Z
